2026-05-29 00:27:44,120 | INFO | DashboardShell._build_ui: AnalyticsPage created
2026-05-29 00:27:44,122 | INFO | DashboardShell._build_ui: DevicePage created
2026-05-29 00:27:44,129 | INFO | DashboardShell._build_ui: PhishingPage created
2026-05-29 00:27:44,133 | INFO | DashboardShell._build_ui: ReportsPage created
2026-05-29 00:27:44,135 | INFO | DashboardShell._build_ui: LogsPage created
2026-05-29 00:27:44,138 | INFO | DashboardShell._build_ui: SettingsPage created
2026-05-29 00:27:59,890 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:27:59,921 | INFO | QApplication created
2026-05-29 00:27:59,921 | INFO | setApplicationName done
2026-05-29 00:27:59,935 | INFO | setStyle done
2026-05-29 00:27:59,942 | INFO | setWindowIcon done
2026-05-29 00:27:59,943 | INFO | theme loaded
2026-05-29 00:27:59,943 | INFO | creating DatabaseManager
2026-05-29 00:27:59,947 | INFO | DatabaseManager created
2026-05-29 00:27:59,947 | INFO | creating AppEventBus
2026-05-29 00:27:59,948 | INFO | AppEventBus created
2026-05-29 00:27:59,948 | INFO | creating AuthService
2026-05-29 00:27:59,948 | INFO | AuthService created
2026-05-29 00:27:59,949 | INFO | ensure_admin completed
2026-05-29 00:27:59,949 | INFO | creating PhishingService
2026-05-29 00:27:59,960 | INFO | PhishingService created
2026-05-29 00:27:59,960 | INFO | creating ProtectionService
2026-05-29 00:27:59,961 | INFO | ProtectionService created
2026-05-29 00:27:59,962 | INFO | creating AnalyticsService
2026-05-29 00:27:59,962 | INFO | AnalyticsService created
2026-05-29 00:27:59,962 | INFO | creating CyberDefenseWindow
2026-05-29 00:27:59,964 | INFO | CyberDefenseWindow.__init__: start
2026-05-29 00:27:59,964 | INFO | creating MonitoringService
2026-05-29 00:27:59,977 | INFO | MonitoringService created
2026-05-29 00:27:59,979 | INFO | connected sample_ready
2026-05-29 00:27:59,979 | INFO | _build_ui: creating QStackedWidget
2026-05-29 00:27:59,981 | INFO | _build_ui: QStackedWidget created
2026-05-29 00:27:59,997 | INFO | _build_ui: LoginPage created
2026-05-29 00:27:59,998 | INFO | DashboardShell._build_ui: start
2026-05-29 00:27:59,998 | INFO | DashboardShell._build_ui: created sidebar frame
2026-05-29 00:27:59,998 | INFO | DashboardShell._build_ui: nav buttons added
2026-05-29 00:27:59,999 | INFO | DashboardShell._build_ui: creating pages
2026-05-29 00:28:00,001 | INFO | DashboardShell._build_ui: HomePage created
2026-05-29 00:28:00,002 | INFO | DashboardShell._build_ui: MonitoringPage created
2026-05-29 00:28:00,007 | INFO | DashboardShell._build_ui: AnalyticsPage created
2026-05-29 00:28:00,010 | INFO | DashboardShell._build_ui: DevicePage created
2026-05-29 00:28:00,015 | INFO | DashboardShell._build_ui: PhishingPage created
2026-05-29 00:28:00,018 | INFO | DashboardShell._build_ui: ReportsPage created
2026-05-29 00:28:00,021 | INFO | DashboardShell._build_ui: LogsPage created
2026-05-29 00:28:00,024 | INFO | DashboardShell._build_ui: SettingsPage created
2026-05-29 00:28:00,024 | INFO | DashboardShell._build_ui: adding page to stack home
2026-05-29 00:28:00,026 | INFO | DashboardShell._build_ui: added page home
2026-05-29 00:28:00,027 | INFO | DashboardShell._build_ui: adding page to stack monitoring
2026-05-29 00:28:00,027 | INFO | DashboardShell._build_ui: added page monitoring
2026-05-29 00:28:00,027 | INFO | DashboardShell._build_ui: adding page to stack analytics
2026-05-29 00:28:00,029 | INFO | DashboardShell._build_ui: added page analytics
2026-05-29 00:28:00,029 | INFO | DashboardShell._build_ui: adding page to stack devices
2026-05-29 00:28:00,030 | INFO | DashboardShell._build_ui: added page devices
2026-05-29 00:28:00,030 | INFO | DashboardShell._build_ui: adding page to stack phishing
2026-05-29 00:28:00,031 | INFO | DashboardShell._build_ui: added page phishing
2026-05-29 00:28:00,032 | INFO | DashboardShell._build_ui: adding page to stack quarantine
2026-05-29 00:28:18,331 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:28:18,364 | INFO | QApplication created
2026-05-29 00:28:18,364 | INFO | setApplicationName done
2026-05-29 00:28:18,378 | INFO | setStyle done
2026-05-29 00:28:18,385 | INFO | setWindowIcon done
2026-05-29 00:28:18,385 | INFO | theme loaded
2026-05-29 00:28:18,385 | INFO | creating DatabaseManager
2026-05-29 00:28:18,388 | INFO | DatabaseManager created
2026-05-29 00:28:18,388 | INFO | creating AppEventBus
2026-05-29 00:28:18,389 | INFO | AppEventBus created
2026-05-29 00:28:18,389 | INFO | creating AuthService
2026-05-29 00:28:18,389 | INFO | AuthService created
2026-05-29 00:28:18,390 | INFO | ensure_admin completed
2026-05-29 00:28:18,390 | INFO | creating PhishingService
2026-05-29 00:28:18,398 | INFO | PhishingService created
2026-05-29 00:28:18,399 | INFO | creating ProtectionService
2026-05-29 00:28:18,399 | INFO | ProtectionService created
2026-05-29 00:28:18,399 | INFO | creating AnalyticsService
2026-05-29 00:28:18,400 | INFO | AnalyticsService created
2026-05-29 00:28:18,400 | INFO | creating CyberDefenseWindow
2026-05-29 00:28:18,401 | INFO | CyberDefenseWindow.__init__: start
2026-05-29 00:28:18,402 | INFO | creating MonitoringService
2026-05-29 00:28:18,416 | INFO | MonitoringService created
2026-05-29 00:28:18,416 | INFO | connected sample_ready
2026-05-29 00:28:18,416 | INFO | _build_ui: creating QStackedWidget
2026-05-29 00:28:18,417 | INFO | _build_ui: QStackedWidget created
2026-05-29 00:28:18,434 | INFO | _build_ui: LoginPage created
2026-05-29 00:28:18,435 | INFO | DashboardShell._build_ui: start
2026-05-29 00:28:18,435 | INFO | DashboardShell._build_ui: created sidebar frame
2026-05-29 00:28:18,436 | INFO | DashboardShell._build_ui: nav buttons added
2026-05-29 00:28:18,436 | INFO | DashboardShell._build_ui: creating pages
2026-05-29 00:28:18,439 | INFO | DashboardShell._build_ui: HomePage created
2026-05-29 00:28:18,439 | INFO | DashboardShell._build_ui: MonitoringPage created
2026-05-29 00:28:18,447 | INFO | DashboardShell._build_ui: AnalyticsPage created
2026-05-29 00:28:18,449 | INFO | DashboardShell._build_ui: DevicePage created
2026-05-29 00:28:18,454 | INFO | DashboardShell._build_ui: PhishingPage created
2026-05-29 00:28:18,458 | INFO | DashboardShell._build_ui: ReportsPage created
2026-05-29 00:28:18,461 | INFO | DashboardShell._build_ui: LogsPage created
2026-05-29 00:28:18,465 | INFO | DashboardShell._build_ui: SettingsPage created
2026-05-29 00:28:18,465 | INFO | DashboardShell._build_ui: adding page to stack home
2026-05-29 00:28:18,467 | INFO | DashboardShell._build_ui: added page home
2026-05-29 00:28:18,467 | INFO | DashboardShell._build_ui: adding page to stack monitoring
2026-05-29 00:28:18,467 | INFO | DashboardShell._build_ui: added page monitoring
2026-05-29 00:28:18,467 | INFO | DashboardShell._build_ui: adding page to stack analytics
2026-05-29 00:28:18,468 | INFO | DashboardShell._build_ui: added page analytics
2026-05-29 00:28:18,468 | INFO | DashboardShell._build_ui: adding page to stack devices
2026-05-29 00:28:18,469 | INFO | DashboardShell._build_ui: added page devices
2026-05-29 00:28:18,469 | INFO | DashboardShell._build_ui: adding page to stack phishing
2026-05-29 00:28:18,470 | INFO | DashboardShell._build_ui: added page phishing
2026-05-29 00:28:18,470 | INFO | DashboardShell._build_ui: skipping None page quarantine
2026-05-29 00:28:18,471 | INFO | DashboardShell._build_ui: adding page to stack reports
2026-05-29 00:28:18,471 | INFO | DashboardShell._build_ui: added page reports
2026-05-29 00:28:18,471 | INFO | DashboardShell._build_ui: adding page to stack logs
2026-05-29 00:28:18,472 | INFO | DashboardShell._build_ui: added page logs
2026-05-29 00:28:18,472 | INFO | DashboardShell._build_ui: adding page to stack settings
2026-05-29 00:28:18,472 | INFO | DashboardShell._build_ui: added page settings
2026-05-29 00:28:18,478 | INFO | DashboardShell._build_ui: switch_page(home) called
2026-05-29 00:28:18,478 | INFO | _build_ui: DashboardShell created
2026-05-29 00:28:18,489 | INFO | _build_ui: central widget set
2026-05-29 00:28:18,490 | INFO | _build_ui: creating tray icon
2026-05-29 00:28:18,542 | INFO | _build_ui: tray icon created
2026-05-29 00:28:23,166 | INFO | _build_ui completed
2026-05-29 00:28:23,166 | INFO | _connect_events completed
2026-05-29 00:28:23,167 | INFO | starting monitoring_service
2026-05-29 00:28:23,167 | INFO | monitoring_service started
2026-05-29 00:28:23,167 | INFO | refresh_timer started
2026-05-29 00:28:23,167 | INFO | CyberDefenseWindow created
2026-05-29 00:28:23,486 | INFO | window.show() called
2026-05-29 00:28:46,665 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:28:46,698 | INFO | QApplication created
2026-05-29 00:28:46,698 | INFO | setApplicationName done
2026-05-29 00:28:46,709 | INFO | setStyle done
2026-05-29 00:28:46,716 | INFO | setWindowIcon done
2026-05-29 00:28:46,717 | INFO | theme loaded
2026-05-29 00:28:46,717 | INFO | creating DatabaseManager
2026-05-29 00:28:46,721 | INFO | DatabaseManager created
2026-05-29 00:28:46,721 | INFO | creating AppEventBus
2026-05-29 00:28:46,722 | INFO | AppEventBus created
2026-05-29 00:28:46,723 | INFO | creating AuthService
2026-05-29 00:28:46,723 | INFO | AuthService created
2026-05-29 00:28:46,724 | INFO | ensure_admin completed
2026-05-29 00:28:46,724 | INFO | creating PhishingService
2026-05-29 00:28:46,735 | INFO | PhishingService created
2026-05-29 00:28:46,736 | INFO | creating ProtectionService
2026-05-29 00:28:46,736 | INFO | ProtectionService created
2026-05-29 00:28:46,736 | INFO | creating AnalyticsService
